"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"1","S4718","M0949","M1164",421905.528,4686507.483,421725.2463,4686457.297,421905.2198,4686509.793,187.136650474627,2.3304693171309,"-9","Y","Y","-9","-9","0.5","2.5","0.5","2.5",2014,2012,2012,"0.000000","0.000000","22.122381","0.999656","0.999656","C_Se_Se","0","0","24","5","0","1","0","0","0","0","---"
"2","S4300","M0985","M0989",421949.5574,4686758.396,421949.0093,4686757.808,421950.427,4686757.765,0.80383929330132,1.0744138681746,"Y","Y","WO","0.5","2.5","0.5","3","1.5","2.5",2014,2012,2012,"0.000000","0.000000","24.683992","0.999973","0.999973","C_Se_Se","0","0","13","1","0","0","0","0","0","0","---"
"3","S4843","L1190","L0632",422032.2769,4686345.106,422041.8637,4686342.684,422485.2706,4686310.132,9.88801386712846,454.341801858078,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2014,2011,2011,"0.022904","0.005000","22.580677","0.999783","0.999783","C_Se_Se","0","0","6","7","0","2","0","0","0","0","---"
"4","S2055","L1190","L0632",422045.0958,4686339.159,422041.8637,4686342.684,422485.2706,4686310.132,4.78247795737465,441.130843723274,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2014,2011,2011,"0.012208","0.002000","24.133763","0.999954","0.999954","C_Se_Se","0","0","8","7","1","2","0","0","0","0","---"
"5","S2049","L1293","L1307",422045.3213,4686339.24,422040.3307,4686342.626,422047.572,4686341.775,6.03084441515347,3.38996688636381,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2014,2011,2011,"0.029174","0.007000","21.786843","0.999520","0.999520","C_Se_Se","0","0","75","11","0","0","1","0","0","0","---"
"6","S4326","M0875","L1229",422101.3629,4686680.145,422102.9,4686681,422177.641,4686445.307,1.75889209754703,246.915440552804,"-9","WO","-9","-9","-9","1.5","2.5","-9","-9",2014,2012,2011,"0.015069","0.003000","21.541021","0.999386","0.999386","C_Se_Se","0","0","8","3","1","0","1","0","0","0","---"
"7","S4334","M0875","L1176",422101.9962,4686676.638,422102.9,4686681,422122.8936,4686385.906,4.45464908132085,291.482070032909,"WO","WO","-9","2","2.5","1.5","2.5","-9","-9",2014,2012,2011,"0.000000","0.000000","22.662960","0.999800","0.999800","C_Se_Se","0","0","18","5","0","0","0","0","0","0","---"
"8","S4442","L1171","L1176",422125.8919,4686392.75,422122.7943,4686385.511,422122.8936,4686385.906,7.87389654242001,7.47195683098155,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2014,2011,2011,"0.000000","0.000000","23.928393","0.999944","0.999944","C_Se_Se","0","0","81","19","0","0","0","0","0","0","---"
"9","S4844","L0593","L1212",422138.9522,4686402.675,422132.5655,4686396.643,422137.9003,4686395.039,8.78492805238203,7.70811193543092,"WR","-9","-9","2.5","0.5","-9","-9","-9","-9",2014,2011,2011,"0.000000","0.000000","23.356052","0.999900","0.999900","C_Se_Se","0","0","16","3","1","1","1","0","0","0","---"
"10","S4855","L1220","L0632",422144.9303,4686404.109,422151.4549,4686406.18,422485.2706,4686310.132,6.84539598256461,353.076756999196,"Y","-9","-9","1","2.5","-9","-9","-9","-9",2014,2011,2011,"0.000000","0.000000","24.294655","0.999961","0.999961","C_Se_Se","0","0","27","3","0","1","0","0","0","0","---"
"11","S4680","L1174","L1217",422172.8783,4686439.588,422133.5944,4686397.181,422179.5427,4686446.91,57.8063876077582,9.90080357120791,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2014,2011,2011,"0.012178","0.002000","22.884217","0.999840","0.999840","C_Se_Se","0","0","9","8","0","0","0","0","0","0","---"
"12","S5248","L1116","L0910",422361.2864,4686690.137,422360.9635,4686691.512,422387.4771,4686679.693,1.41240554019754,28.1962746208549,"Y","-9","Y","0.5","2.5","-9","-9","0.5","2.5",2014,2011,2011,"0.018949","0.004000","22.200777","0.999682","0.999682","C_Se_Se","0","0","8","4","0","0","4","0","0","0","---"
"13","S5243","L1116","L0906",422361.7504,4686691.721,422360.9635,4686691.512,422370.2705,4686679.02,0.814182172444243,15.2940349489042,"Y","-9","Y","0.5","2.5","-9","-9","0.5","2.5",2014,2011,2011,"0.000000","0.000000","23.521315","0.999915","0.999915","C_Se_Se","0","0","7","1","0","0","1","0","0","0","---"
"14","S5244","L0908","L0959",422440.6844,4686670.832,422438.6759,4686672.905,422466.3228,4686662.085,2.88641667983539,27.0894363833487,"Y","Y","Y","0.5","2.5","0.5","2.5","0.5","2.5",2014,2011,2011,"0.026371","0.006000","20.979100","0.998923","0.998923","C_Se_Se","0","0","91","13","1","3","0","0","0","0","---"
