"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"1","L0947","J1571","J1296",423399.6928,4685916.403,423790.9453,4686041.513,423816.3575,4686038.376,410.768828973592,434.150762932782,"-9","-9","FO","-9","-9","-9","-9","3","2",2011,2009,2009,"0.000000","0.000000","24.468245","0.999967","0.999967","C_Se_Se","0","0","39","6","0","1","0","0","0","0","---"
"2","L0568","J0874","J1215",423499.6804,4687288.717,423522.7437,4687284.873,423522.851,4687289.793,23.3814486910662,23.195570274501,"Y","Y","Y","0.5","2.5","0.5","2.5","0.5","2.5",2011,2009,2009,"0.000000","0.000000","25.143560","0.999983","0.999983","C_Se_Se","0","0","5","1","0","0","1","0","0","0","---"
"3","L1492","K0962","K0178",423885.426,4686467.729,423885.715,4686468.051,423903.7881,4686515.404,0.43267193094884,51.0888670983537,"FO","-9","FO","4","2.5","-9","-9","4","1.5",2011,2010,2010,"0.000000","0.000000","23.739503","0.999932","0.999932","C_Se_Se","0","0","29","5","2","0","1","0","0","0","---"
"4","L0914","J0228","J1251",423910.8714,4686067.579,423908.5517,4686066.623,423929.6905,4686082.539,2.50897271615738,24.0408012514086,"-9","FR","FR","-9","-9","3.5","1","4","1",2011,2009,2009,"0.000000","0.000000","24.288667","0.999961","0.999961","C_Se_Se","0","0","22","12","1","0","0","0","0","0","---"
"5","L1480","K1504","J0641",424293.2451,4686418.234,424272.8492,4686413.593,424310.8839,4686418.879,20.9172564598835,17.6505889544785,"-9","-9","FR","-9","-9","-9","-9","3.5","1",2011,2010,2009,"0.028135","0.001000","19.613764","0.995795","0.995795","C_Se_Se","0","0","9","3","0","0","1","0","0","0","---"
"6","L0584","J1050","J0678",424310.7386,4686412.922,424287.5434,4686406.317,424329.6977,4686412.891,24.1172827665964,18.9591253440502,"WR","WR","WR","1.5","1","2","1","2.5","1",2011,2009,2009,"0.000000","0.000000","25.296514","0.999986","0.999986","C_Se_Se","0","0","2","1","0","0","1","0","0","0","---"
"7","L0571","J0365","J0433",424311.6874,4686413.412,424230.2087,4686431.634,424316.098,4686422.48,83.4914357146218,10.0837501147329,"FR","FR","FR","4","1","4","1","3.5","1",2011,2009,2009,"0.000000","0.000000","23.567761","0.999919","0.999919","C_Se_Se","0","0","2","1","0","0","0","0","0","0","---"
"8","L0810","J0613","J0605",424352.8511,4686440.203,424327.9764,4686424.549,424354.5066,4686434.104,29.3904477015104,6.31968996418613,"-9","FR","FR","-9","-9","4","1","3.5","1",2011,2009,2009,"0.000000","0.000000","23.433290","0.999907","0.999907","C_Se_Se","0","0","49","9","0","0","0","0","0","0","---"
"9","L1423","K1058","J0995",424476.4128,4686404.851,424476.7345,4686390.332,424488.8877,4686405.508,14.5225635434065,12.4921887198171,"-9","-9","FR","-9","-9","-9","-9","3.5","1",2011,2010,2009,"0.000000","0.000000","23.865849","0.999940","0.999940","C_Se_Se","0","0","3","1","2","0","0","0","0","0","---"
"10","L0880","K1058","K1171",424477.6091,4686401.771,424476.7345,4686390.332,424577.1964,4686428.4,11.4723862445563,103.086051250049,"FR","-9","-9","3.5","1","-9","-9","-9","-9",2011,2010,2010,"0.000000","0.000000","23.467139","0.999910","0.999910","C_Se_Se","0","0","8","4","0","0","0","0","0","0","---"
"11","L1892","K1034","J0751",424552.1836,4686068.561,424551.8727,4686065.608,424568.8844,4686064.96,2.969321102288,17.0846106668607,"FR","-9","FR","3","1","-9","-9","3","1",2011,2010,2009,"0.000000","0.000000","22.055490","0.999633","0.999633","C_Se_Se","0","0","2","1","1","1","0","0","0","0","---"
