"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"157","T4822","L0495","L0294",423926.8,4686540,423926.1093,4686524.282,423926.8251,4686542.616,15.7331684825639,2.61612041237181,"WR","-9","FO","2","0.5","-9","-9","4","2.5",2015,2011,2011,"0.000000","0.000000","22.791517","0.999824","0.999824","C_Se_Se","0","0","38","36","0","1","2","0","0","0","---"
"158","T1136","L0294","J0863",423927.5,4686539,423926.8251,4686542.616,423928.3932,4686539.763,3.67844342253347,1.17472347401158,"FO","FO","FO","3","2.5","4","2.5","3","2.5",2015,2011,2009,"0.031521","0.004000","21.649232","0.999449","0.999449","C_Se_Se","0","0","8","3","1","2","0","1","0","1","s1099_632387"
"159","T0681","K0125","J1581",423927.7,4686086,423795.1783,4686038.706,423926.4888,4686077.798,140.707936545395,8.29094743881564,"FO","FO","-9","3.5","2.5","4","1.5","-9","-9",2015,2010,2009,"0.047353","0.007000","20.856173","0.998782","0.998782","C_Se_Se","0","0","7","2","4","1","1","0","0","0","---"
"160","T0686","L0653","L0050",424022.7,4686113,423970.8165,4686091.151,424024.0972,4686108.29,56.2963264633392,4.91286757807167,"FR","FR","-9","3","0.5","4","1","-9","-9",2015,2011,2011,"0.000000","0.000000","22.350438","0.999726","0.999726","C_Se_Se","0","0","19","3","0","0","2","0","0","0","---"
"161","T0020","M0008","P0580",424030.4267,4686109.669,424031.7,4686111,424112.2335,4686120.631,1.84197011122237,82.5379789566001,"Y","W","W","0.5","2","0.5","1","1","1",2015,2012,2013,"0.037411","0.005000","21.416386","0.999304","0.999304","C_Se_Se","0","0","72","9","3","2","2","0","0","0","---"
"162","T0358","K1113","L0778",424032.3,4686438,424031.644,4686441.311,424034.7113,4686440.016,3.3753602768289,3.14302779012266,"FR","-9","-9","3.5","0.5","-9","-9","-9","-9",2015,2010,2011,"0.012045","0.001000","22.159746","0.999669","0.999669","C_Se_Se","0","0","75","19","0","2","0","0","0","0","---"
"163","T0341","L0362","L0443",424035.4106,4686434.87,424036.8122,4686442.012,424064.9519,4686412.869,7.27823100484215,36.8338486544127,"FO","FO","FO","3.5","2.5","3.5","2.5","4","1.5",2015,2011,2011,"0.000000","0.000000","22.796736","0.999825","0.999825","C_Se_Se","0","0","47","77","1","1","2","0","0","0","---"
"164","T0785","S0236","M2015",424062.2,4686134,424061.8619,4686118.16,424065.5916,4686137.218,15.843607909983,4.67530475605884,"FR","FR","FR","4.5","0.5","4","1","4","1",2015,2014,2012,"0.000000","0.000000","22.263931","0.999702","0.999702","C_Se_Se","0","0","53","11","0","0","0","0","0","0","---"
"165","T0357","L0443","L0580",424063.4,4686411,424064.9519,4686412.869,424074.6442,4686411.877,2.42931155056071,11.2783492870019,"FR","FO","-9","3.5","1","4","1.5","-9","-9",2015,2011,2011,"0.000000","0.000000","22.090597","0.999645","0.999645","C_Se_Se","0","0","16","2","0","2","1","0","0","0","---"
"166","T0360","S2942","S2956",424068.2362,4686408.082,424066.5851,4686409.277,424072.0254,4686404.84,2.03817472468663,4.98684275304217,"FO","FR","FR","3.5","1.5","4","1","3","0.5",2015,2014,2014,"0.000000","0.000000","23.331425","0.999897","0.999897","C_Se_Se","0","0","9","2","1","1","0","0","0","0","---"
