"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"1","M1417","J1175","J0874",423502.0088,4687285.065,423521.5259,4687291.058,423522.7437,4687284.873,20.4164943466626,20.7357889169789,"Y","-9","Y","0.5","2.5","-9","-9","0.5","2.5",2012,2009,2009,"0.000000","0.000000","24.362332","0.999963","0.999963","C_Se_Se","0","0","4","2","1","0","0","0","0","0","---"
"2","M1532","J1218","J1202",423502.8,4687298,423522.3137,4687290.838,423524.8016,4687296.711,20.7865035944936,22.0393267492557,"Y","-9","Y","0.5","2.5","-9","-9","0.5","2.5",2012,2009,2009,"0.000000","0.000000","24.525215","0.999969","0.999969","C_Se_Se","0","0","5","2","0","0","0","0","0","0","---"
"3","M0723","J1202","J0864",423503.4906,4687295.939,423524.8016,4687296.711,423525.9312,4687299.412,21.3249784290456,22.7077576469784,"Y","Y","-9","0.5","2.5","0.5","2.5","-9","-9",2012,2009,2009,"0.000000","0.000000","23.719111","0.999930","0.999930","C_Se_Se","0","0","6","3","0","0","0","0","0","0","---"
"4","M0427","K0129","K1719",423526.5331,4685924.065,423527.584,4685925.897,423963.8706,4686088.494,2.11201676319219,467.226909485229,"FO","WR;FO;WR","-9","4","1.5","2.5;3;2.5","1;1.5;1","-9","-9",2012,2010,2010,"0.000000","0.000000","20.962012","0.998904","0.998904","C_Se_Se","0","0","8","2","1","2","0","0","0","0","---"
"5","M0226","J0065","K0539",423534.8712,4685926.107,423529.3557,4685906.193,423533.0999,4685930.74,20.663691254099,4.9600597469788,"WO","WO","-9","2","2.5","1.5","2","-9","-9",2012,2009,2010,"0.036366","0.002000","21.351078","0.999257","0.999257","C_Se_Se","0","0","55","19","1","0","0","0","0","0","---"
"6","M0222","J1661","K0523",423616.7,4685972,423574.6987,4685935.038,423609.8131,4685976.549,55.9490718932118,8.2536532884888,"Y","WR","-9","1","2.5","2","0.5","-9","-9",2012,2009,2010,"0.000000","0.000000","22.034069","0.999625","0.999625","C_Se_Se","0","0","12","1","0","0","1","0","0","0","---"
"7","M0240","K1483","J1683",423662.0708,4685986.587,423623.0557,4685965.276,423659.7305,4685985.258,44.4560091442781,2.69132775589977,"WR","-9","-9","2","1","-9","-9","-9","-9",2012,2010,2009,"0.000000","0.000000","20.971977","0.998915","0.998915","C_Se_Se","0","0","6","1","0","2","0","1","0","1","ros_assembly_748981"
"8","M0338","K0133","J1398",423706.8,4686020,423705.7778,4686018.506,423762.0822,4686028.298,1.81022894680697,55.9015066062507,"WO","FO","WR","2","2","3","2.5","2.5","1",2012,2010,2009,"0.035112","0.002000","21.237600","0.999168","0.999168","C_Se_Se","0","0","35","4","0","0","0","0","1","1","ros_assembly_620992"
"9","M0346","J0284","J0477",423808.0194,4686039.431,423801.1674,4686054.808,423826.9183,4686040.79,16.8345487914071,18.9476991271123,"W","FR","W","0.5","1","3","1","0.5","1",2012,2009,2009,"0.000000","0.000000","26.502616","0.999996","0.999996","C_Se_Se","0","0","5","1","0","0","1","0","0","0","---"
"10","M0043","J0063","J1223",423838.1724,4686047.272,423435.6368,4685898.972,423839.2065,4686034.181,428.984614254762,13.1317799178317,"FO","FR","FR","4","2.5","3.5","1","4.5","1",2012,2009,2009,"0.022136","0.001000","21.691894","0.999472","0.999472","C_Se_Se","0","0","60","14","0","0","1","0","0","0","---"
