"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"1","V8035","L1172","L1215",422120.6,4686383,422122.1381,4686384.233,422144.9714,4686404.476,1.97130429158829,32.4835914570913,"FR","-9","-9","4","0.5","-9","-9","-9","-9",2016,2011,2011,"0.000000","0.000000","27.000990","0.999997","0.999997","C_Se_Se","0","0","30","2","0","0","0","0","0","0","---"
"2","V4156","L1181","L0593",422133.8,4686405,422127.5804,4686389.181,422132.5655,4686396.643,16.9977700056326,8.44768839667348,"FR","WR","-9","3.5","0.5","1.5","1","-9","-9",2016,2011,2011,"0.000000","0.000000","22.914774","0.999844","0.999844","C_Se_Se","0","0","12","1","1","0","1","0","0","0","---"
"3","V0330","L1211","L1215",422134.5,4686407,422144.0441,4686402.822,422144.9714,4686404.476,10.4185185517201,10.7712949064001,"WR","-9","-9","1.5","0","-9","-9","-9","-9",2016,2011,2011,"0.000000","0.000000","24.523250","0.999969","0.999969","C_Se_Se","0","0","40","8","0","1","0","0","0","0","---"
"4","V3995","L1212","L0606",422134.6,4686400,422137.9003,4686395.039,423670.073,4687085.843,5.958481441716,1681.68307191886,"Y","-9","Y","0.5","2.5","-9","-9","1","2.5",2016,2011,2011,"0.013230","0.001000","21.339152","0.999248","0.999248","C_Se_Se","0","0","18","3","1","1","0","0","1","1","s260_949098"
"5","V3055","L1174","L1211",422135.8,4686402,422133.5944,4686397.181,422144.0441,4686402.822,5.29975776439201,8.28497850387531,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2016,2011,2011,"0.032463","0.005000","21.202479","0.999138","0.999138","C_Se_Se","0","0","5","1","0","0","1","0","0","0","---"
"6","V2915","L1172","L1211",422136.3,4686399,422122.1381,4686384.233,422144.0441,4686402.822,20.460295711694,8.63589999987449,"WO","-9","-9","2","2.5","-9","-9","-9","-9",2016,2011,2011,"0.000000","0.000000","23.152095","0.999877","0.999877","C_Se_Se","0","0","31","4","0","0","1","0","0","0","---"
"7","V2301","L1211","L1917",422136.4,4686399,422144.0441,4686402.822,422168.6607,4686438.853,8.54634125268212,51.2739151372166,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2016,2011,2011,"0.019211","0.002000","22.237642","0.999694","0.999694","C_Se_Se","0","0","15","2","0","1","0","0","0","0","---"
"8","V8022","L1212","L1917",422138,4686397,422137.9003,4686395.039,422168.6607,4686438.853,1.96353280861331,51.8820983914534,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2016,2011,2011,"0.013107","0.001000","23.617118","0.999923","0.999923","C_Se_Se","0","0","181","25","0","1","0","0","0","0","---"
"9","V6350","L1212","L1213",422138.1,4686402,422137.9003,4686395.039,422152.0422,4686400.6,6.96386394839548,14.0123139003663,"Y","-9","-9","0.5","3","-9","-9","-9","-9",2016,2011,2011,"0.022619","0.003000","20.691961","0.998565","0.998565","C_Se_Se","0","0","73","1","0","1","0","0","1","1","s804_404293"
"10","V3095","L1172","L0593",422138.2,4686397,422122.1381,4686384.233,422132.5655,4686396.643,20.5178195871482,5.64579837133116,"FR","-9","-9","4","0.5","-9","-9","-9","-9",2016,2011,2011,"0.012985","0.001000","23.069353","0.999867","0.999867","C_Se_Se","0","0","18","6","0","0","1","0","0","0","---"
"11","V8034","L1212","L1211",422139.3,4686400,422137.9003,4686395.039,422144.0441,4686402.822,5.15467565335415,5.51997905869021,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2016,2011,2011,"0.012866","0.001000","24.110980","0.999953","0.999953","C_Se_Se","0","0","20","4","1","1","1","0","0","0","---"
"12","V3108","L1220","L1229",422144,4686403,422151.4549,4686406.18,422177.641,4686445.307,8.10480931350496,54.0518189333416,"WO","-9","-9","1.5","2.5","-9","-9","-9","-9",2016,2011,2011,"0.000000","0.000000","23.336044","0.999898","0.999898","C_Se_Se","0","0","6","2","0","1","1","0","0","0","---"
"13","V0791","M0171","L1910",422911.1,4686242,422901.4,4686241,422913.9137,4686240.298,9.75141015438776,3.28842085028254,"WO","FO","-9","2","2.5","4","2.5","-9","-9",2016,2012,2011,"0.043246","0.007000","21.656489","0.999453","0.999453","C_Se_Se","0","0","36","22","1","0","1","0","0","0","---"
"14","V1991","L1000","M0991",422913.9,4686239,422902.6399,4686241.1,422912.4661,4686238.398,11.4542503905211,1.55514411227918,"Y","WO","Y","0.5","2.5","1.5","2.5","0.5","3",2016,2011,2012,"0.000000","0.000000","25.455692","0.999988","0.999988","C_Se_Se","0","0","5","2","0","1","0","0","0","0","---"
"15","V1890","L0145","M1936",422919.2,4686239,424175.2023,4686119.905,424200.0787,4686100.084,1261.63600005319,1288.38965347047,"FR","-9","FR","3","1","-9","-9","3","1",2016,2011,2012,"0.000000","0.000000","23.618971","0.999923","0.999923","C_Se_Se","0","0","133","18","0","1","2","0","0","0","---"
"16","V1995","P3157","M0954",422961.9,4686224,422930.0015,4686234.309,422965.3041,4686225.493,33.5229739620164,3.71711525369526,"WO","Y","Y","1.5","2.5","0.5","2.5","0.5","2.5",2016,2013,2012,"0.012634","0.001000","23.387097","0.999903","0.999903","C_Se_Se","0","0","8","2","2","0","0","0","0","0","---"
"17","V4769","M1414","M0994",422969.4,4686225,422970.8,4686224,422972,4686222,1.72046505338011,3.96988664824059,"Y","Y","Y","0.5","2.5","0.5","2","0.5","2.5",2016,2012,2012,"0.000000","0.000000","23.401482","0.999904","0.999904","C_Se_Se","0","0","388","102","1","1","1","0","0","0","---"
"18","V4824","M1000","M0997",423028.1,4686244,423033.0068,4686256.586,423035.6927,4686253.573,13.5086669306471,12.2184869066451,"W","Y","W","0.5","1","0.5","2.5","0.5","1",2016,2012,2012,"0.017752","0.002000","23.312380","0.999895","0.999895","C_Se_Se","0","0","34","6","0","1","0","0","0","0","---"
"19","V4654","M1000","M0997",423030.8,4686257,423033.0068,4686256.586,423035.6927,4686253.573,2.2452978064904,5.973511721862,"Y","Y","W","0.5","3","0.5","2.5","0.5","1",2016,2012,2012,"0.000000","0.000000","25.303430","0.999986","0.999986","C_Se_Se","0","0","19","6","1","1","0","0","0","0","---"
"20","V6705","K1580","M1000",423033,4686253,422982.1548,4686226.325,423033.0068,4686256.586,57.4176800996713,3.58600644741585,"Y","-9","Y","0.5","2.5","-9","-9","0.5","2.5",2016,2010,2012,"0.011986","0.001000","23.123575","0.999874","0.999874","C_Se_Se","0","0","6","2","1","1","1","0","0","0","---"
"21","V4976","P2791","P3068",423050.7,4686243,423045.5652,4686244.286,423048.3345,4686243.383,5.29338899390579,2.3963053332911,"WO","Y","Y","1.5","2.5","0.5","2.5","0.5","2.5",2016,2013,2013,"0.000000","0.000000","21.479744","0.999347","0.999347","C_Se_Se","0","0","91","17","1","0","0","0","0","0","---"
"22","V4970","M0999","P3087",423094.8,4686243,423087.7582,4686247.957,423127.9631,4686228.011,8.61155016498644,36.3931493912265,"Y","Y","Y","0.5","2.5","1","2.5","0.5","2.5",2016,2012,2013,"0.000000","0.000000","22.199560","0.999682","0.999682","C_Se_Se","0","0","7","1","0","1","1","0","0","0","---"
"23","V4950","P3068","M0999",423096.3,4686242,423048.3345,4686243.383,423087.7582,4686247.957,47.9854340321123,10.4138463712934,"Y","Y","Y","0.5","2.5","0.5","2.5","1","2.5",2016,2013,2012,"0.000000","0.000000","23.065044","0.999866","0.999866","C_Se_Se","0","0","18","4","2","0","1","0","0","0","---"
"24","V4946","M0999","M1302",423097.4,4686242,423087.7582,4686247.957,423087.9539,4686248.867,11.3335853217589,11.6783772076775,"Y","Y","Y","0.5","2.5","1","2.5","0.5","2.5",2016,2012,2012,"0.011590","0.001000","22.686215","0.999804","0.999804","C_Se_Se","0","0","26","2","0","1","0","0","0","0","---"
"25","V4951","P3077","M0999",423100.3,4686242,423085.2098,4686244.735,423087.7582,4686247.957,15.3360477646993,13.8846172523751,"Y","W","Y","0.5","2","0.5","1","1","2.5",2016,2013,2012,"0.000000","0.000000","24.480285","0.999967","0.999967","C_Se_Se","0","0","18","1","2","0","1","0","0","0","---"
"26","V4945","P3064","M0999",423100.4,4686244,423063.7208,4686241.113,423087.7582,4686247.957,36.7926416779439,13.2466205593814,"Y","Y","Y","0.5","2.5","0.5","2.5","1","2.5",2016,2013,2012,"0.011402","0.001000","21.873496","0.999559","0.999559","C_Se_Se","0","0","55","3","1","1","1","0","0","0","---"
"27","V4881","S0723","P3099",423117.7,4686225,423117.6416,4686233.972,423127.9835,4686224.433,8.97219006492884,10.299119440466,"Y","WO","Y","0.5","3","1.5","2.5","0.5","2.5",2016,2014,2013,"0.023373","0.003000","23.208146","0.999884","0.999884","C_Se_Se","0","0","24","12","0","0","0","0","0","0","---"
