"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"1","P1150","K0968","K0980",421720.6588,4686445.546,421716.4686,4686450.501,421717.0305,4686445.441,6.48920650313655,3.6298189885949,"WO","-9","-9","1.5","2.5","-9","-9","-9","-9",2013,2010,2010,"0.000000","0.000000","22.915369","0.999845","0.999845","C_Se_Se","0","0","7","2","2","1","1","0","0","0","---"
"2","P3121","L1174","L1212",422132.8207,4686395.085,422133.5944,4686397.181,422137.9003,4686395.039,2.23423984603814,5.0798082798449,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2011,2011,"0.000000","0.000000","23.705933","0.999929","0.999929","C_Se_Se","0","0","10","1","0","0","1","0","0","0","---"
"3","P3038","L1310","L1174",422138.7164,4686390.537,421831.2228,4686309.862,422133.5944,4686397.181,317.900565689843,8.38913702379393,"Y","WR","-9","0.5","2.5","1.5","1","-9","-9",2013,2011,2011,"0.008225","0.001000","21.568452","0.999402","0.999402","C_Se_Se","0","0","10","2","2","0","0","0","0","0","---"
"4","P3126","L1185","L1211",422139.4104,4686402.494,422110.0331,4686365.809,422144.0441,4686402.822,46.998031663672,4.64529435987509,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2011,2011,"0.000000","0.000000","22.830082","0.999831","0.999831","C_Se_Se","0","0","3","1","0","0","1","0","0","0","---"
"5","P3123","L1212","L0648",422141.3402,4686400.639,422137.9003,4686395.039,422275.6317,4686444.661,6.57213146674972,141.322834164381,"WR","-9","-9","1.5","1","-9","-9","-9","-9",2013,2011,2011,"0.000000","0.000000","23.839642","0.999938","0.999938","C_Se_Se","0","0","11","1","0","1","0","0","0","0","---"
"6","P3034","L1902","L1221",422183.6006,4686436.62,422181.097,4686443.272,422248.2839,4686445.973,7.10753944462562,65.3560089654273,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2011,2011,"0.000000","0.000000","24.348018","0.999963","0.999963","C_Se_Se","0","0","19","5","2","1","2","0","0","0","---"
"7","P3206","J0780","J0776",422229.97,4686446.756,422196.0865,4686434.844,422255.4408,4686450.502,35.9163934194555,25.7447891551393,"Y","Y","-9","0.5","2.5","0.5","2","-9","-9",2013,2009,2009,"0.006869","0.001000","22.426823","0.999747","0.999747","C_Se_Se","0","0","38","8","0","0","1","0","1","1","s382_741148"
"8","P3242","L1223","L0648",422269.1232,4686440.604,422269.5923,4686441.429,422275.6317,4686444.661,0.949041521121998,7.66940814215484,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2013,2011,2011,"0.013521","0.002000","22.836609","0.999832","0.999832","C_Se_Se","0","0","13","2","0","0","0","0","0","0","---"
"9","P3261","L1223","L0648",422269.6877,4686440.118,422269.5923,4686441.429,422275.6317,4686444.661,1.31446649229017,7.48130904354424,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2013,2011,2011,"0.000000","0.000000","22.341970","0.999724","0.999724","C_Se_Se","0","0","19","4","1","0","0","0","0","0","---"
"10","P3243","L1216","L0648",422270.0241,4686440.936,422208.8666,4686452.115,422275.6317,4686444.661,62.1708118594013,6.73207269454856,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2013,2011,2011,"0.007254","0.001000","22.591417","0.999785","0.999785","C_Se_Se","0","0","8","2","1","0","0","0","1","1","s382_741148"
"11","P3258","L1223","L0648",422270.1618,4686441.285,422269.5923,4686441.429,422275.6317,4686444.661,0.587423399095536,6.427844274046,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2013,2011,2011,"0.007214","0.001000","22.177567","0.999675","0.999675","C_Se_Se","0","0","13","3","1","0","0","0","0","0","---"
"12","P3274","L1223","L0648",422270.1855,4686441.478,422269.5923,4686441.429,422275.6317,4686444.661,0.595220329004721,6.30813628905528,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2013,2011,2011,"0.007174","0.001000","22.452542","0.999753","0.999753","C_Se_Se","0","0","19","4","2","0","0","0","0","0","---"
"13","P3116","M1425","L0648",422272.3856,4686443.929,422265.6,4686443,422275.6317,4686444.661,6.84889833178891,3.32761013513353,"-9","WR","-9","-9","-9","1.5","1","-9","-9",2013,2012,2011,"0.000000","0.000000","22.977998","0.999854","0.999854","C_Se_Se","0","0","20","2","0","1","0","0","0","0","---"
"14","P3266","L1223","L0648",422274.006,4686438.321,422269.5923,4686441.429,422275.6317,4686444.661,5.39818596234337,6.54511271776267,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2011,2011,"0.021702","0.004000","22.459466","0.999755","0.999755","C_Se_Se","0","0","13","5","3","0","0","0","0","0","---"
"15","P2927","L1918","L0991",422473.1821,4686310.588,422461.5104,4686319.326,422463.3526,4686317.193,14.580165461577,11.8425122015329,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2011,2011,"0.000000","0.000000","25.459139","0.999988","0.999988","C_Se_Se","0","0","6","2","1","1","1","0","0","0","---"
"16","P2385","K1788","K1996",422645.4642,4686762.785,423746.4879,4686030.988,423783.393,4686034.472,1322.03632218298,1351.04469942284,"W","-9","-9","0.5","0.5","-9","-9","-9","-9",2013,2010,2010,"0.008385","0.001000","20.854493","0.998780","0.998780","C_Se_Se","0","0","9","1","2","1","0","0","1","1","s1180_371625"
"17","P3302","L1795","L1764",422921.2018,4687017.498,422916.5153,4687019.438,422919.2443,4687019.732,5.07216741158499,2.9702798269878,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2011,2011,"0.034632","0.007000","20.154236","0.997546","0.997546","C_Se_Se","0","0","18","7","1","1","1","0","0","0","---"
"18","P2769","M0171","L1910",422922.4715,4686248.735,422901.4,4686241,422913.9137,4686240.298,22.4463435163409,12.0174419007866,"WO","FO","-9","2","2.5","4","2.5","-9","-9",2013,2012,2011,"0.017852","0.003000","21.012033","0.998958","0.998958","C_Se_Se","0","0","35","5","0","0","1","0","0","0","---"
"19","P3076","M0973","L0949",423045.2885,4686242.936,423039.7561,4686249.337,423119.9945,4686235.174,8.46051125920591,75.108155881993,"Y","Y","-9","0.5","2.5","1","2.5","-9","-9",2013,2012,2011,"0.008071","0.001000","22.830372","0.999831","0.999831","C_Se_Se","0","0","32","2","0","1","1","0","0","0","---"
"20","P3091","K0677","K0666",423062.2969,4686235.772,423062.3651,4686248.762,423063.8475,4686238.202,12.9901790305524,2.88257876881506,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2013,2010,2010,"0.008173","0.001000","23.737266","0.999932","0.999932","C_Se_Se","0","0","5","4","1","0","1","0","0","0","---"
"21","P3085","L0949","K1586",423115.8621,4686231.138,423119.9945,4686235.174,423221.7254,4686056.467,5.77633324476226,204.247390504541,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2011,2010,"0.027014","0.005000","21.980548","0.999604","0.999604","C_Se_Se","0","0","64","18","1","1","2","0","0","0","---"
"22","P3087","M0995","M1335",423127.9631,4686228.011,422870.9269,4686251.394,423086.4149,4686246.797,258.097603242347,45.5978806443168,"Y","Y","Y","0.5","2.5","0.5","2.5","0.5","2.5",2013,2012,2012,"0.000000","0.000000","24.132397","0.999954","0.999954","C_Se_Se","0","0","22","1","1","2","0","0","0","0","---"
"23","P2960","J0839","J0822",423226.458,4686102.143,423244.5569,4686107.215,423260.5285,4686097.878,18.7961529363958,34.3364120906244,"WO","Y","FO","1.5","2.5","0.5","2.5","3.5","2.5",2013,2009,2009,"0.000000","0.000000","23.989177","0.999947","0.999947","C_Se_Se","0","0","5","1","0","1","0","0","0","0","---"
"24","P0144","K1297","K1719",423513.7662,4685922.131,423510.6178,4685919.378,423963.8706,4686088.494,4.1822758831457,479.865208853836,"W","-9","-9","1","1.5","-9","-9","-9","-9",2013,2010,2010,"0.000000","0.000000","24.507122","0.999968","0.999968","C_Se_Se","0","0","10","2","0","1","0","0","0","0","---"
"25","P2745","K0420","K0409",423517.0017,4685904.787,423516.5149,4685910.022,423517.3903,4685910.394,5.25758492499392,5.62045006816124,"WR","-9","-9","1.5","0.5","-9","-9","-9","-9",2013,2010,2010,"0.000000","0.000000","23.015727","0.999859","0.999859","C_Se_Se","0","0","93","10","2","0","1","0","0","0","---"
"26","P2747","K0420","K0409",423517.6269,4685906.05,423516.5149,4685910.022,423517.3903,4685910.394,4.1247215664156,4.35043854851163,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2010,2010,"0.000000","0.000000","23.926885","0.999943","0.999943","C_Se_Se","0","0","54","5","1","0","1","0","0","0","---"
"27","P0699","K0462","K0420",423521.9577,4685908.222,423515.0055,4685907.396,423516.5149,4685910.022,7.00109711692208,5.73271941050103,"FO","-9","-9","3.5","1.5","-9","-9","-9","-9",2013,2010,2010,"0.000000","0.000000","23.153584","0.999877","0.999877","C_Se_Se","0","0","18","8","1","1","0","0","0","0","---"
"28","P0340","M0448","J0399",423523.3322,4685933.586,423515.8,4685922,423589.6029,4685932.845,13.8191690359144,66.2748425836662,"-9","FO","WR","-9","-9","3","2","2.5","1.5",2013,2012,2009,"0.038690","0.008000","20.599046","0.998426","0.998426","C_Se_Se","0","0","10","4","0","2","1","1","0","1","s751_467474"
"29","P0813","K1534","K1660",423549.2126,4685930.542,423551.546,4685933.057,423905.8392,4686522.59,3.43074052619208,691.16088295774,"Y","-9","-9","0.5","2.5","-9","-9","-9","-9",2013,2010,2010,"0.034500","0.007000","18.734870","0.989932","0.989932","C_Se_Se","0","0","18","2","0","1","0","2","0","2","s1099_632387,s16_391553"
